epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49704,1.2156,2.73681,1.61497,0.0043,1,0.38125,0.11204,1.64007,2.97969,1.84393,0,0,0
2,3.10118,1.09891,2.76285,1.5065,0.00426,1,0.45583,0.14921,1.56302,2.97159,1.79881,1.50197e-05,1.50197e-05,1.50197e-05
3,4.4187,1.15627,2.76956,1.56796,0.00421,1,0.58042,0.23065,1.41267,2.98474,1.73546,2.67387e-05,2.67387e-05,2.67387e-05
4,5.73269,0.98863,2.72119,1.43624,0.00426,1,0.4975,0.23318,1.22658,2.97448,1.51063,3.5157e-05,3.5157e-05,3.5157e-05
5,7.00729,0.91532,2.74234,1.49153,0.00413,1,0.41458,0.26008,0.96276,2.91338,1.35534,4.02747e-05,4.02747e-05,4.02747e-05
6,8.6223,0.91442,2.67786,1.31697,0.00412,1,0.4975,0.34773,0.83624,2.88084,1.26557,4.20917e-05,4.20917e-05,4.20917e-05
7,10.0153,0.91449,2.67208,1.37046,0.00408,1,0.82917,0.53378,0.71688,2.85388,1.19156,4.06081e-05,4.06081e-05,4.06081e-05
8,11.6643,0.89138,2.64596,1.23205,0.004,1,0.91167,0.55506,0.65502,2.83719,1.14985,3.58238e-05,3.58238e-05,3.58238e-05
9,13.1223,0.73567,2.59478,1.13242,0.00391,1,0.91167,0.59482,0.58295,2.81899,1.11979,2.77389e-05,2.77389e-05,2.77389e-05
10,14.7053,0.62756,2.56039,1.17714,0.00386,1,0.91167,0.6215,0.54962,2.81262,1.09783,1.63533e-05,1.63533e-05,1.63533e-05
