term,definition,lang,source
2D graphics,"Graphic rendering technique in a two-dimensional perspective, often using sprites .",en,wikipedia_glossary
2.5D graphics,Also isometric graphics . Graphic rendering technique of three-dimensional objects set in a two-dimensional plane of movement. Often includes games where some objects are still rendered as sprites .,en,wikipedia_glossary
360 no-scope,A 360 no-scope usually refers to a trick shot in a first or third-person shooter video game in which one player kills another with a sniper rifle by first spinning a full circle and then quickly shooting without looking through the scope.,en,wikipedia_glossary
3D graphics,Graphic rendering technique featuring three-dimensional objects.,en,wikipedia_glossary
4K resolution,"An aspect ratio of digital display devices such as televisions and monitors, supporting up to 3840 × 2160 pixel (roughly 4 kilopixels wide) resolutions.",en,wikipedia_glossary
8-bit,"A descriptor for hardware or software that arose during the third generation of video game consoles , targeting 8-bit computer architecture.",en,wikipedia_glossary
8K resolution,"An aspect ratio of digital display devices such as televisions and monitors, supporting up to 7680 × 4320 pixel (roughly 8 kilopixels wide) resolutions.",en,wikipedia_glossary
16-bit,"A descriptor for hardware or software that arose during the fourth generation of video game consoles , targeting 16-bit computer architecture.",en,wikipedia_glossary
32-bit,"A descriptor for hardware or software that arose during the fifth generation of video game consoles , targeting 32-bit computer architecture.",en,wikipedia_glossary
64-bit,"A descriptor for hardware or software that arose during the fifth generation of video game consoles , targeting 64-bit computer architecture.",en,wikipedia_glossary
abandonware,"A game that is forgotten about or abandoned by its developers for any number of reasons, including copyright issues. [ 6 ]",en,wikipedia_glossary
achievement,"Also badge , trophy , medal , cheevo . Meta-goals defined outside a game's parameters. May be external achievements such as those on Xbox Live or Steam , internal achievements such as those in Clash of Clans , or both.",en,wikipedia_glossary
achievement hunter,A player who attempts to collect all achievements in a game. Achievement hunters tend to be completionists .,en,wikipedia_glossary
action game,"A game genre emphasizing hand–eye coordination, reflexes, timing, and other physical skills. It includes fighting games, shooter s, and platformer s.",en,wikipedia_glossary
action point (AP),"A subunit of a player's turn. For example, a game may allow an action to occur only so long as the player has sufficient 'action points' to complete the action. [ 8 ] [ 9 ]",en,wikipedia_glossary
action role-playing game (ARPG),A genre of role-playing video game where battle actions are performed in real-time instead of a turn-based mechanic.,en,wikipedia_glossary
actions per minute (APM),The total number of actions that a player can perform in a minute.,en,wikipedia_glossary
adaptive music,Game music which changes and reacts to the actions of the player and state of the game in an attempt to better reflect the game atmosphere. [ 10 ],en,wikipedia_glossary
adaptive AI,A form of artificial intelligence which takes data based on how the player performs and uses it to learn to better counter the player.,en,wikipedia_glossary
add-on,See downloadable content .,en,wikipedia_glossary
advance and secure (AAS),A player versus player team-based game mode used in tactical first-person shooter games where the players on opposing teams must capture certain predefined points of interest in a game environment in a certain preset order.,en,wikipedia_glossary
adventure game,A game genre which emphasizes exploration and puzzle-solving.,en,wikipedia_glossary
aggro,"An abbreviation of 'aggravation' or 'aggression'. 'Causing aggro' or 'aggroing' in a video game means to attract hostile attention from NPCs or enemies to attack the player-character. 'Managing aggro' involves keeping aggressive NPCs from overwhelming the player or party . [ 12 ] The term may be facetiously used in reference to irritated bystanders ('wife aggro', 'mother aggro', etc). Also see hate and rushdown .",en,wikipedia_glossary
aimbot,"A first-person shooter cheat that allows a player's weapon to automatically aim at a target. In most cases, the aiming reticle locks onto a target within the player's line of sight and the player only has to pull the trigger. Aimbots are one of the most popular cheats in multiplayer FPS, used since 1996's Quake . [ 13 ] : 119 Compare to the feature auto-aim .",en,wikipedia_glossary
aiming down sights (ADS),"Also aim down sights . Refers to the common alternate method of firing a gun in a first-person shooter (FPS) game, typically activated by the right mouse button. The real-life analogue is when a person raises a rifle up and places the stock just inside the shoulder area, and leans their head down so they can see in a straight line along the top of the rifle, through both of the iron sights or a scope, if equipped. In most games, this greatly increases accuracy, but can limit vision, situational awareness, mobility, and require a small amount of time to change the weapon position.",en,wikipedia_glossary
alpha release,"An initial, incomplete version of a game. Alpha versions are usually released early in the development process to test a game's most critical functionality and prototype design concepts. Compare with beta release .",en,wikipedia_glossary
always-on DRM,A type of digital rights management (DRM) that typically requires a connection to the Internet while playing the game.,en,wikipedia_glossary
analog stick,"Also control stick and thumbstick . A small variation of a joystick , usually placed on a game controller to allow a player more fluent 2-dimensional input than is possible with a D-pad . [ 14 ]",en,wikipedia_glossary
animatic,A partially animated storyboard with sound effects used during early game development. [ 15 ],en,wikipedia_glossary
animation priority,"A type of gameplay mechanic in which the playable character's animations have priority over the player's input; in other words, if the player begins an action with a long animation, the animation must play out first before the player can then enter a new command, and attempting to enter a new command will have no effect. Games like the Dark Souls and Monster Hunter series are based on gameplay using animation priority. [ 16 ]",en,wikipedia_glossary
Anti-Aim,"A type of cheat commonly found in first-person shooter games that makes it difficult or impossible for the user's hitbox es to be hit. This can be achieved many ways, but the most common ones are rapidly moving the user's hitbox es, flipping hitbox es (usually backwards or sideways), and sending false packets to the server.",en,wikipedia_glossary
anti-RPG,A role-playing video game that subverts the typical elements of such games. [ 17 ] The term was coined by the video game Moon: Remix RPG Adventure . [ 18 ],en,wikipedia_glossary
arcade game,2.  Abbreviation of Age of Empires,en,wikipedia_glossary
area of effect (AoE),See level .,en,wikipedia_glossary
arena mode,See action role-playing game .,en,wikipedia_glossary
arena FPS,"A side game mode, mostly found in some action-adventure games, in which a player-controlled character is placed in a closed area and challenged to defeat enemies using combat abilities.",en,wikipedia_glossary
arena shooter,Arena shooters that use the first-person perspective.,en,wikipedia_glossary
artificial intelligence (AI),Shooting games that are typically based on fast-paced gameplay and in a limited map or level space.,en,wikipedia_glossary
assault mode,"Algorithms used to generate responsive, adaptive or intelligent game behavior, primarily in non-player characters .  Distinct from the computing science concept of 'artificial intelligence'.",en,wikipedia_glossary
asset flipping,A game mode in which one team tries to attack (or capture) specific areas and the other team tries to defend those points.,en,wikipedia_glossary
asymmetric gameplay,"The practice of creating a game using 'free' art and audio assets, either from an online marketplace or the default stock of assets included with many game engines . Asset-flips are often of very poor quality designed to catch onto a currently popular theme to turn a quick profit. It mimics the practice of flipping in real estate markets.",en,wikipedia_glossary
